processes,chunk_size,time
1,10,14.178264133321742
1,25,6.611423266702332
1,50,3.359361800054709
1,100,3.333711566675144
1,200,3.7028800333694867
1,500,3.051671900010357
2,10,2.6219073333001384
2,25,2.3976328999657803
2,50,2.578397433312299
2,100,2.9392669333610684
2,200,3.502210933327054
2,500,3.833481566631235
4,10,3.9723808666458353
4,25,3.6105304666950055
4,50,3.351931399976214
4,100,3.3431358666857705
4,200,3.838008066678109
4,500,5.005469666638722
8,10,6.825098366631816
8,25,4.727110200057116
8,50,4.911386266661187
8,100,6.4102370333081735
8,200,4.312700433307327
8,500,3.665720433345996
